Entity,Code,Year,Renewables (TWh - equivalent)
Central America (EI),,1984,24.220165
Central America (EI),,1985,26.32939
Central America (EI),,1986,30.09278
Central America (EI),,1987,31.304848
Central America (EI),,1988,33.10117
Central America (EI),,1989,36.373024
Central America (EI),,1990,38.03819
Central America (EI),,1991,37.44342
Central America (EI),,1992,37.24075
Central America (EI),,1993,40.60575
Central America (EI),,1994,39.314102
Central America (EI),,1995,39.049828
Central America (EI),,1996,44.29619
Central America (EI),,1997,43.44026
Central America (EI),,1998,42.91359
Central America (EI),,1999,51.732784
Central America (EI),,2000,54.169106
Central America (EI),,2001,49.677933
Central America (EI),,2002,52.613163
Central America (EI),,2003,54.67746
Central America (EI),,2004,57.682156
Central America (EI),,2005,61.397194
Central America (EI),,2006,64.4615
Central America (EI),,2007,65.18883
Central America (EI),,2008,71.13372
Central America (EI),,2009,69.15582
Central America (EI),,2010,77.59615
Central America (EI),,2011,77.06649
Central America (EI),,2012,83.83011
Central America (EI),,2013,84.249084
Central America (EI),,2014,86.576195
Central America (EI),,2015,93.70675
Central America (EI),,2016,98.70806
Central America (EI),,2017,109.44392
Central America (EI),,2018,114.43495
Central America (EI),,2019,104.226204
Central America (EI),,2020,115.37214
Central America (EI),,2021,125.94213
Central America (EI),,2022,128.41501
Chile,CHL,1965,11.691936
Chile,CHL,1966,12.324731
Chile,CHL,1967,12.581988
Chile,CHL,1968,10.541667
Chile,CHL,1969,11.898925
Chile,CHL,1970,12.735752
Chile,CHL,1971,14.430847
Chile,CHL,1972,17.125504
Chile,CHL,1973,16.707155
Chile,CHL,1974,18.96512
Chile,CHL,1975,19.05205
Chile,CHL,1976,19.746202
Chile,CHL,1977,20.862635
Chile,CHL,1978,21.73162
Chile,CHL,1979,22.323723
Chile,CHL,1980,23.609644
Chile,CHL,1981,24.450603
Chile,CHL,1982,26.795933
Chile,CHL,1983,29.089516
Chile,CHL,1984,30.1376
Chile,CHL,1985,33.35635
Chile,CHL,1986,35.875
Chile,CHL,1987,38.78256
Chile,CHL,1988,38.17772
Chile,CHL,1989,32.200233
Chile,CHL,1990,29.513798
Chile,CHL,1991,42.139534
Chile,CHL,1992,55.064453
Chile,CHL,1993,56.497787
Chile,CHL,1994,55.92713
Chile,CHL,1995,60.44738
Chile,CHL,1996,55.44271
Chile,CHL,1997,61.578693
Chile,CHL,1998,50.83244
Chile,CHL,1999,44.775738
Chile,CHL,2000,60.811592
Chile,CHL,2001,69.08429
Chile,CHL,2002,73.384766
Chile,CHL,2003,70.98259
Chile,CHL,2004,66.92411
Chile,CHL,2005,78.96732
Chile,CHL,2006,84.8712
Chile,CHL,2007,71.792366
Chile,CHL,2008,79.75075
Chile,CHL,2009,81.366165
Chile,CHL,2010,72.19143
Chile,CHL,2011,71.28386
Chile,CHL,2012,75.50318
Chile,CHL,2013,77.772896
Chile,CHL,2014,83.51232
Chile,CHL,2015,90.737686
Chile,CHL,2016,87.56232
Chile,CHL,2017,100.50987
Chile,CHL,2018,113.94959
Chile,CHL,2019,111.21159
Chile,CHL,2020,114.42176
Chile,CHL,2021,116.141685
Chile,CHL,2022,139.67516
China,CHN,1965,65.34059
China,CHN,1966,66.490585
China,CHN,1967,57.316765
China,CHN,1968,67.62751
China,CHN,1969,68.777504
China,CHN,1970,71.07749
China,CHN,1971,85.97514
China,CHN,1972,97.43588
China,CHN,1973,108.89662
China,CHN,1974,123.23235
China,CHN,1975,128.95619
China,CHN,1976,130.68118
China,CHN,1977,136.41808
China,CHN,1978,127.81926
China,CHN,1979,143.5794
China,CHN,1980,172.1594
China,CHN,1981,193.72179
China,CHN,1982,220.04097
China,CHN,1983,255.53398
China,CHN,1984,256.7101
China,CHN,1985,273.189
